ability,scouting,deployment,initiative,movement,psychic,shooting,fight,morale,A,Sv,Inv
"a chordclaw can only be used to make one attack each time this model fights. each time you make a wound roll of 6+ with this weapon, the target suffers d3 mortal wounds instead of the normal damage",,,,,,,Y,,,,
a dire avenger exarch has a 4+ invulnerable save,,,,,,Y,Y,,,,4
"a guardian drone has a 5+ invulnerable save. friendly t'au empire models within 6"" of this model have a 6+ invulnerable save",,,,,,Y,Y,,,,5
"a heavy weapons platform can only move, advance, react, shoot or fight if a friendly guardian defender that is not shaken is within 3"" of it. if a heavy weapons platform shoots, you must choose one such guardian defender that could still shoot its own ranged weapon in that phase, that guardian defender may not fire any of its own ranged weapons this phase. heavy weapons platforms may not charge, may not be specialists, are not part of a fire team and do not gain experience. a heavy weapon platform automatically passes nerve tests",,,,Y,,Y,Y,Y,,,
a model armed with boneswords can make 1 additional attack with them in the fight phase,,,,,,,Y,,1,,
a model armed with equalizers increases its attacks characteristic by 1. this increase has been added to its profile,,,,,,,Y,,,,
"a model armed with this weapon has a 5+ invulnerable save against attacks made in the fight phase. if it already has an invulnerable save, add 1 to invulnerable saving throws you make for it in the fight phase instead",,,,,,,Y,,,,
a model equipped with a storm shield has a 3+ invulnerable save,,,,,,Y,Y,,,,3
"a model firing a bolt sniper rifle does not suffer the penalty to hit rolls for the target being at long range. in addition, when attacking with this weapon, choose one of the profiles below",,,,,,Y,,,,,
"a model firing a hexrifle does not suffer the penalty to hit rolls for the target being at long range. each time you roll a wound roll of 6+ for this weapon, it inflicts a mortal wound in addition to any other damage",,,,,,Y,,,,,
"a model firing a ranger long rifle does not suffer the penalty to hit for the target being at long range. each time you roll a wound roll of 6+ for this weapon, it inflicts one mortal wound in addition to any other damage",,,,,,Y,,,,,
"a model firing a sniper rifle does not suffer the penalty to hit rolls for firing at long range. if you roll a wound roll of 6+ for this weapon, it inflicts a mortal wound in addition to its normal damage",,,,,,Y,,,,,
a model firing a sniper rilfe does not suffer the penalty to hit rolls for the target being long range. if you roll a wound roll of 6+ for this weapon it inflicts a mortal wound in addition to its normal damage,,,,,,Y,,,,,
"a model firing a synaptic disintegrator does not suffer the penalty to hit rolls for the target being at long range. each time you roll a wound roll of 6+ for this weapon, the target suffers a mortal wound in addition to any other damage",,,,,,Y,,,,,
a model firing this weapon does not suffer the penalty to hit rolls for the target being at long range,,,,,,Y,,,,,
"a model firing this weapon does not suffer the penalty to hit rolls for the target being at long range. this weapon wounds on a 2+. each time you roll a wound roll of 6+ for this weapon, it inflicts a mortal wound in addition to any other damage",,,,,,Y,,,,,
"a model firing this weapon does not suffer the penalty to its hit rolls for the target being at long range. if you roll a wound roll of 6+ for this weapon, it inflicts a mortal wound in addition to its normal damage. if a psyker loses any wounds as a result of this weapon's attacks, after all of this weapon's attacks have been resolved that model suffers perils of the warp",,,,,,Y,,,,,
a model with a brute shield has a 4+ invulnerable save,,,,,,Y,Y,,,,4
a model with a dispersion shield has a 4+ invulnerable save,,,,,,Y,Y,,,,4
a model with a forceshield has a 4+ invulnerable save,,,,,,Y,Y,,,,4
a model with a grapnel launcher can climb any distance vertically (up or down) when it makes a normal move - do not measure the distance moved in this way,,,,Y,,,,,,,
"a model with a grav-chute never suffers falling damage, and never falls on another model. if it would, instead place this model as close as possible to the point where it would have landed. this can bring it within 1"" of an enemy model",,,,,,Y,Y,,,,
"a model with a shield generator has a 4+ invulnerable save. in addition, each time a model with a shield generator loses a wound, roll a d6; on a 5+ the model does not lose that wound",,,,,,Y,Y,,,,4
a model with a target lock does not suffer the penalty to their hit rolls for advancing and firing assault weapons,,,,,,Y,,,,,
a model with a tempestus command rod may use the voice of command ability twice in each battle round. resolve the effect of the first order before issuing the second order,,,,,,Y,,,,,
a model with an extended carapace has a save characteristic of 4+ but loses the swift and deadly ability,,,,,,Y,Y,,,4,
a model with an xv8-02 crisis iridium battlesuit has a save characteristic of 2+,,,,,,Y,Y,,,2,
a model with this ability can be chosen to fight in the hammer of wrath section of the fight phase even if they have not charged in that battle round,,,,,,,Y,,,,
