ability,scouting,deployment,initiative,movement,psychic,shooting,fight,morale,M,S,A,Ld,Sv,Inv
"a company commander may use the voice of command ability twice each battle round. resolve the effects of the first order before issuing the second order.models in your kill team are considered to be obscured to enemy models that target them if they are more than 12"" away from those models.",,,,,,Y,,,,,,,,
add 1 to hit rolls for attacks made by models in your kill team for each other model in your kill team that has taken an enemy model out of action with an attack in this phase.,,,,,,Y,Y,,,,,,,
"add 1 to the leadership characteristic of all models in your kill team. in addition, models in your kill team can still shoot in a battle round in which they retreated or fell back, but if they do, a 6 is always required for a successful hit roll, irrespective of the firing model's ballistic skill or any modifiers.",,,,,,Y,,Y,,,,1,,
"add 1 to the leadership characteristic of models in your kill team. in addition, models in your kill team can shoot rapid fire weapons as if they were assault weapons in the shooting phase of a battle round in which they advanced (e.g. a rapid fire 1 weapon would be used as if it were assault 1).",,,,,,Y,,Y,,,,1,,
"add 1 to the leadership characteristic of models in your kill team. in addition, you can re-roll hit rolls of 1 for shooting attacks made by models in your kill team.",,,,,,Y,,Y,,,,1,,
"add 1 to the leadership characteristic of models in your kill team. in addition, you can re-roll hit rolls of 1 for shuriken weapons used by models in your kill team. a shuriken weapon is any weapon profile whose name includes the word 'shuriken' (e.g. shuriken pistol, avenger shuriken catapult, etc.). the ranged profile of a scorpion's claw is also a shuriken weapon.",,,,,,Y,,Y,,,,1,,
"add 1 to the move characteristic of models in your kill team and add 1 to advance and charge rolls made for them. in addition, these models do not suffer the penalty to their hit rolls for shooting assault weapons during a battle round in which they advanced.",,,,Y,,Y,,,1,,,,,
"add 1 to the strength characteristic of models in your kill team. in addition, add 1 to the leadership characteristic of models in your kill team if they are within 6"" of a friendly catachan officer.",,,,,,,Y,Y,,1,,,,
"add 1 to the strength characteristic of models in your kill team. in addition, when a model in your kill team advances add an additional 2"" to the distance it can move.when it is your turn to choose a psyker from your kill team to attempt to manifest psychic powers in this phase, you can choose up to two models from your kill team to do so. resolve all of one model’s attempts before choosing the next model. in addition, you can add 1 to psychic tests and deny the witch tests for models in your kill team.when you make a nerve test for a model in your kill team, subtract 1 from the result. in addition, when a model in your kill team is taken out of action, roll a d6 before removing that model; on a 4+, that model can make a shooting attack with one weapon as if it were the shooting phase, or make a single attack as if it were the fight phase.",,,,Y,Y,Y,Y,Y,,1,,,,
"at the start of each fight phase roll 2 dice and discard the highest result. until the end of the phase, each time an opponent targets a model in your kill team and makes a hit roll that, before modifiers, exactly matches your dice result, that hit roll fails.",,,,,,,Y,,,,,,,
"each time you make an unmodified hit roll of 6 for an attack with a melee weapon made by a model in your kill team, immediately make an additional hit roll against the same target with the same weapon. these additional hit rolls cannot themselves generate any further hit rolls.",,,,,,,Y,,,,,,,
"each time you randomly determine which canticle of the omnissiah is being chanted, roll two dice instead of one. models in your kill team receive the benefit of both results, instead of just the result of the first dice (if a duplicate is rolled, no additional canticle is chanted this turn).",,,,,,,,,,,,,,
"gretchin cannot be drawn from a clan, but can be included in an orks kill team without preventing other models in that kill team from getting a clan kultur. note, however, that gretchins can never themselves benefit from a clan kultur.you can re-roll charge rolls for models in your kill team.",,,,Y,,,,,,,,,,
"if a model from your kill team targets an enemy model that is within range and not at long range when making a shooting attack, it can make an extra shot with the same weapon, at the same target, for each unmodified hit roll of 6.",,,,,,Y,,,,,,,,
"if a model in your kill team advances, you can re-roll the d6 to determine the increase to that model's move characteristic. in addition, if a model in your kill team advances, it can move across models and terrain as if they were not there.",,,,Y,,,,,,,,,,
"if a model in your kill team does not move in the movement phase, for the remainder of the battle round it is considered to be obscured to enemy models that target it.",,,,Y,,Y,,,,,,,,
"if the base of a model in your kill team is touching the base of at least two other friendly mordian models, add 1 to that model's leadership characteristic, and when that model fires overwatch they successfully hit on a roll of 5 or 6.",,,,Y,,,,Y,,,,,,
"if this model takes an enemy model out of action in the shooting phase, the controlling player must add 1 to nerve tests they make in the morale phase that turn.",,,,,,,,Y,,,,,,
"in any battle round in which a model from your kill team charged, was charged or made a pile-in move granted by the heroic intervention commander tactic, add 1 to hit rolls for attacks made by that model in the fight phase. in addition, you can use the heroic intervention commander tactic if there are any enemy models within 6"" (rather than 3"") of your commander, and when you do so they can make a pile-in move of 6"", rather than 3"".",,,,,,,Y,,,,,,,
"in any battle round in which a model from your kill team charged, was charged or made a pile-in move granted by the heroic intervention commander tactic, add 1 to wound rolls for attacks made by that model in the fight phase.",,,,,,,Y,,,,,,,
"increase the strength characteristic of models from your kill team by 1. in addition, when you take a nerve test for a model in your kill team, subtract 1 from the result.",,,,,,,Y,Y,,1,,,,
"models in your kill team (other than models that can fly) are considered to be obscured to enemy models that target them. if the model advances or charges, however, it loses this benefit until the end of the battle round.",,,,Y,,Y,,,,,,,,
"models in your kill team are considered to be obscured to enemy models that target them if they are more than 12"" away from those models.",,,,,,Y,,,,,,,,
"models in your kill team are considered to be obscured to enemy models that target them if they are more than 12"" away from those models. in addition, models in your kill team can shoot even if they fell back in the same battle round.",,,,,,Y,,,,,,,,
"models in your kill team are considered to be obscured to enemy models that target them if they are more than 12"" away from those models.models in your kill team firing rapid fire weapons double the number of attacks they make if all of their targets are within 18"" (instead of half the weapon's range characteristic).",,,,,,Y,,,,,,,,
"models in your kill team can move an additional d6"" when they fall back. in addition, they can consolidate up to 6"".",,,,Y,,,Y,,,,,,,
"models in your kill team can shoot in the shooting phase even if they advanced in the same battle round (with the exception of heavy weapons). in addition, these models do not suffer the penalty to hit rolls for shooting assault weapons during a battle round in which they advanced.",,,,,,Y,,,,,,,,
models in your kill team can shoot ranged weapons as if they were assault weapons in the shooting phase of a battle round in which they advanced (e.g. a rapid fire 1 weapon would be used as if it were an assault 1 weapon).,,,,,,Y,,,,,,,,
"models in your kill team can shoot rapid fire weapons as if they were assault weapons in the shooting phase of a battle round in which they advanced (e.g. a rapid fire 1 weapon would be used as if it were an assault 1 weapon). in addition, models in your kill team do not suffer the penalty to their hit rolls for shooting assault weapons during a battle round in which they advanced.",,,,,,Y,,,,,,,,
